Anz.,Datum Zeit,Temp
1,07.08.19 11:19:45 AM,25.319
2,07.08.19 11:19:51 AM,
3,07.08.19 11:34:45 AM,25.805
4,07.08.19 11:49:45 AM,25.902
5,07.08.19 12:04:45 PM,25.708
6,07.08.19 12:19:45 PM,36.295
7,07.08.19 12:34:45 PM,40.645
8,07.08.19 12:49:45 PM,47.238
9,07.08.19 01:04:45 PM,32.291
10,07.08.19 01:19:45 PM,28.853
11,07.08.19 01:34:45 PM,27.862
12,07.08.19 01:49:45 PM,28.159
13,07.08.19 02:04:45 PM,35.649
14,07.08.19 02:19:45 PM,42.998
15,07.08.19 02:34:45 PM,39.05
16,07.08.19 02:49:45 PM,40.185
17,07.08.19 03:04:45 PM,41.341
18,07.08.19 03:19:45 PM,42.758
19,07.08.19 03:34:45 PM,32.394
20,07.08.19 03:49:45 PM,31.37
21,07.08.19 04:04:45 PM,33.326
22,07.08.19 04:19:45 PM,28.357
23,07.08.19 04:34:45 PM,26.39
24,07.08.19 04:49:45 PM,25.708
25,07.08.19 05:04:45 PM,26.097
26,07.08.19 05:19:45 PM,28.357
27,07.08.19 05:34:45 PM,29.352
28,07.08.19 05:49:45 PM,26.977
29,07.08.19 06:04:45 PM,30.457
30,07.08.19 06:19:45 PM,25.61
31,07.08.19 06:34:45 PM,26.39
32,07.08.19 06:49:45 PM,24.448
33,07.08.19 07:04:45 PM,25.61
34,07.08.19 07:19:45 PM,25.222
35,07.08.19 07:34:45 PM,23.773
36,07.08.19 07:49:45 PM,20.901
37,07.08.19 08:04:45 PM,19.758
38,07.08.19 08:19:45 PM,19.092
39,07.08.19 08:34:45 PM,18.616
40,07.08.19 08:49:45 PM,18.331
41,07.08.19 09:04:45 PM,17.855
42,07.08.19 09:19:45 PM,17.284
43,07.08.19 09:34:45 PM,16.523
44,07.08.19 09:49:45 PM,16.332
45,07.08.19 10:04:45 PM,15.664
46,07.08.19 10:19:45 PM,15.282
47,07.08.19 10:34:45 PM,14.9
48,07.08.19 10:49:45 PM,14.517
49,07.08.19 11:04:45 PM,14.23
50,07.08.19 11:19:45 PM,13.75
51,07.08.19 11:34:45 PM,13.076
52,07.08.19 11:49:45 PM,12.69
53,07.09.19 12:04:45 AM,12.401
