Anz.,Datum Zeit,Temp
1,07.08.19 11:16:49 AM,25.319
2,07.08.19 11:16:52 AM,
3,07.08.19 11:31:49 AM,25.513
4,07.08.19 11:46:49 AM,25.513
5,07.08.19 12:01:49 PM,25.513
6,07.08.19 12:16:49 PM,29.152
7,07.08.19 12:31:49 PM,39.843
8,07.08.19 12:46:49 PM,32.911
9,07.08.19 01:01:49 PM,31.37
10,07.08.19 01:16:49 PM,31.37
11,07.08.19 01:31:49 PM,32.497
12,07.08.19 01:46:49 PM,31.166
13,07.08.19 02:01:49 PM,39.957
14,07.08.19 02:16:49 PM,47.368
15,07.08.19 02:31:49 PM,45.076
16,07.08.19 02:46:49 PM,44.704
17,07.08.19 03:01:49 PM,45.326
18,07.08.19 03:16:49 PM,45.201
19,07.08.19 03:31:49 PM,38.379
20,07.08.19 03:46:49 PM,34.585
21,07.08.19 04:01:49 PM,35.649
22,07.08.19 04:16:49 PM,31.574
23,07.08.19 04:31:49 PM,28.754
24,07.08.19 04:46:49 PM,27.468
25,07.08.19 05:01:49 PM,27.37
26,07.08.19 05:16:49 PM,29.352
27,07.08.19 05:31:49 PM,31.37
28,07.08.19 05:46:49 PM,27.173
29,07.08.19 06:01:49 PM,27.764
30,07.08.19 06:16:49 PM,26.683
31,07.08.19 06:31:49 PM,28.754
32,07.08.19 06:46:49 PM,26.781
33,07.08.19 07:01:49 PM,25.61
34,07.08.19 07:16:49 PM,25.222
35,07.08.19 07:31:49 PM,22.429
36,07.08.19 07:46:49 PM,20.519
37,07.08.19 08:01:49 PM,19.758
38,07.08.19 08:16:49 PM,19.092
39,07.08.19 08:31:49 PM,18.521
40,07.08.19 08:46:49 PM,18.14
41,07.08.19 09:01:49 PM,17.665
42,07.08.19 09:16:49 PM,17.094
43,07.08.19 09:31:49 PM,16.427
44,07.08.19 09:46:49 PM,16.046
45,07.08.19 10:01:49 PM,15.569
46,07.08.19 10:16:49 PM,14.996
47,07.08.19 10:31:49 PM,14.709
48,07.08.19 10:46:49 PM,14.325
49,07.08.19 11:01:49 PM,14.038
50,07.08.19 11:16:49 PM,13.75
51,07.08.19 11:31:49 PM,13.076
52,07.08.19 11:46:49 PM,12.69
53,07.09.19 12:01:49 AM,12.401
54,07.09.19 12:16:49 AM,12.11
55,07.09.19 12:31:49 AM,11.916
56,07.09.19 12:46:49 AM,11.722
57,07.09.19 01:01:49 AM,11.625
58,07.09.19 01:16:49 AM,11.625
59,07.09.19 01:31:49 AM,12.11
60,07.09.19 01:46:49 AM,12.304
61,07.09.19 02:01:49 AM,12.207
62,07.09.19 02:16:49 AM,11.528
63,07.09.19 02:31:49 AM,10.944
64,07.09.19 02:46:49 AM,10.651
65,07.09.19 03:01:49 AM,10.553
66,07.09.19 03:16:49 AM,10.357
67,07.09.19 03:31:49 AM,10.357
68,07.09.19 03:46:49 AM,10.357
69,07.09.19 04:01:49 AM,10.259
70,07.09.19 04:16:49 AM,10.161
71,07.09.19 04:31:49 AM,9.866
72,07.09.19 04:46:49 AM,9.866
73,07.09.19 05:01:49 AM,9.669
74,07.09.19 05:16:49 AM,9.669
75,07.09.19 05:31:49 AM,9.669
76,07.09.19 05:46:49 AM,9.768
77,07.09.19 06:01:49 AM,10.161
78,07.09.19 06:16:49 AM,10.846
79,07.09.19 06:31:49 AM,12.69
80,07.09.19 06:46:49 AM,14.9
81,07.09.19 07:01:49 AM,16.141
82,07.09.19 07:16:49 AM,18.616
83,07.09.19 07:31:49 AM,22.238
84,07.09.19 07:46:49 AM,23.581
85,07.09.19 08:01:49 AM,23.581
86,07.09.19 08:16:49 AM,25.028
87,07.09.19 08:31:49 AM,22.717
88,07.09.19 08:46:49 AM,23.677
89,07.09.19 09:01:49 AM,23.581
90,07.09.19 09:16:49 AM,22.142
91,07.09.19 09:31:49 AM,25.125
92,07.09.19 09:46:49 AM,26.781
93,07.09.19 10:01:49 AM,26.488
94,07.09.19 10:16:49 AM,26.585
95,07.09.19 10:31:49 AM,29.053
96,07.09.19 10:46:49 AM,28.258
97,07.09.19 11:01:49 AM,21.473
98,07.09.19 11:16:49 AM,23.966
99,07.09.19 11:31:49 AM,26.977
100,07.09.19 11:46:49 AM,28.754
101,07.09.19 12:01:49 PM,27.961
102,07.09.19 12:16:49 PM,29.252
103,07.09.19 12:31:49 PM,29.053
104,07.09.19 12:46:49 PM,29.752
105,07.09.19 01:01:49 PM,28.456
106,07.09.19 01:16:49 PM,28.555
107,07.09.19 01:31:49 PM,28.853
108,07.09.19 01:46:49 PM,35.435
109,07.09.19 02:01:49 PM,38.602
