Anz.,Datum Zeit,Temp
1,07.08.19 11:16:28 AM,25.222
2,07.08.19 11:16:31 AM,
3,07.08.19 11:31:28 AM,25.416
4,07.08.19 11:46:28 AM,25.416
5,07.08.19 12:01:28 PM,25.416
6,07.08.19 12:16:28 PM,28.555
7,07.08.19 12:31:28 PM,41.341
8,07.08.19 12:46:28 PM,32.188
9,07.08.19 01:01:28 PM,30.659
10,07.08.19 01:16:28 PM,33.639
11,07.08.19 01:31:28 PM,35.435
12,07.08.19 01:46:28 PM,31.064
13,07.08.19 02:01:28 PM,36.403
14,07.08.19 02:16:28 PM,41.108
15,07.08.19 02:31:28 PM,40.071
16,07.08.19 02:46:28 PM,40.3
17,07.08.19 03:01:28 PM,42.998
18,07.08.19 03:16:28 PM,42.878
19,07.08.19 03:31:28 PM,37.604
20,07.08.19 03:46:28 PM,33.535
21,07.08.19 04:01:28 PM,34.903
22,07.08.19 04:16:28 PM,31.676
23,07.08.19 04:31:28 PM,28.655
24,07.08.19 04:46:28 PM,27.468
25,07.08.19 05:01:28 PM,27.862
26,07.08.19 05:16:28 PM,29.953
27,07.08.19 05:31:28 PM,33.326
28,07.08.19 05:46:28 PM,28.555
29,07.08.19 06:01:28 PM,30.558
30,07.08.19 06:16:28 PM,28.853
31,07.08.19 06:31:28 PM,28.159
32,07.08.19 06:46:28 PM,27.075
33,07.08.19 07:01:28 PM,26.683
34,07.08.19 07:16:28 PM,26.879
35,07.08.19 07:31:28 PM,22.621
36,07.08.19 07:46:28 PM,20.71
37,07.08.19 08:01:28 PM,19.853
38,07.08.19 08:16:28 PM,19.092
39,07.08.19 08:31:28 PM,18.616
40,07.08.19 08:46:28 PM,18.236
41,07.08.19 09:01:28 PM,17.855
42,07.08.19 09:16:28 PM,17.284
43,07.08.19 09:31:28 PM,16.808
44,07.08.19 09:46:28 PM,16.332
45,07.08.19 10:01:28 PM,15.951
46,07.08.19 10:16:28 PM,15.569
47,07.08.19 10:31:28 PM,15.187
48,07.08.19 10:46:28 PM,14.804
49,07.08.19 11:01:28 PM,14.421
50,07.08.19 11:16:28 PM,14.134
51,07.08.19 11:31:28 PM,13.558
52,07.08.19 11:46:28 PM,13.269
53,07.09.19 12:01:28 AM,12.98
54,07.09.19 12:16:28 AM,12.69
55,07.09.19 12:31:28 AM,12.497
56,07.09.19 12:46:28 AM,12.304
57,07.09.19 01:01:28 AM,12.207
58,07.09.19 01:16:28 AM,12.11
59,07.09.19 01:31:28 AM,12.594
60,07.09.19 01:46:28 AM,12.787
61,07.09.19 02:01:28 AM,12.787
62,07.09.19 02:16:28 AM,12.11
63,07.09.19 02:31:28 AM,11.528
64,07.09.19 02:46:28 AM,11.236
65,07.09.19 03:01:28 AM,11.139
66,07.09.19 03:16:28 AM,11.041
67,07.09.19 03:31:28 AM,10.944
68,07.09.19 03:46:28 AM,10.944
69,07.09.19 04:01:28 AM,10.846
70,07.09.19 04:16:28 AM,10.748
71,07.09.19 04:31:28 AM,10.455
72,07.09.19 04:46:28 AM,10.357
73,07.09.19 05:01:28 AM,10.357
74,07.09.19 05:16:28 AM,10.259
75,07.09.19 05:31:28 AM,10.259
76,07.09.19 05:46:28 AM,10.357
77,07.09.19 06:01:28 AM,10.553
78,07.09.19 06:16:28 AM,11.041
79,07.09.19 06:31:28 AM,12.207
80,07.09.19 06:46:28 AM,13.75
81,07.09.19 07:01:28 AM,14.709
82,07.09.19 07:16:28 AM,16.237
83,07.09.19 07:31:28 AM,18.616
84,07.09.19 07:46:28 AM,20.043
85,07.09.19 08:01:28 AM,21.187
86,07.09.19 08:16:28 AM,23.004
87,07.09.19 08:31:28 AM,21.569
88,07.09.19 08:46:28 AM,22.908
89,07.09.19 09:01:28 AM,23.1
90,07.09.19 09:16:28 AM,22.142
91,07.09.19 09:31:28 AM,24.351
92,07.09.19 09:46:28 AM,25.902
93,07.09.19 10:01:28 AM,25.708
94,07.09.19 10:16:28 AM,25.513
95,07.09.19 10:31:28 AM,25.902
96,07.09.19 10:46:28 AM,26.683
97,07.09.19 11:01:28 AM,20.138
98,07.09.19 11:16:28 AM,19.567
99,07.09.19 11:31:28 AM,22.046
100,07.09.19 11:46:28 AM,23.004
101,07.09.19 12:01:28 PM,22.908
102,07.09.19 12:16:28 PM,23.677
103,07.09.19 12:31:28 PM,24.641
104,07.09.19 12:46:28 PM,26.097
105,07.09.19 01:01:28 PM,26.39
106,07.09.19 01:16:28 PM,27.764
107,07.09.19 01:31:28 PM,28.06
