Site,Date,Variable,Qualifier,Value,Unit,Comment,Site UFZ,
Grünbach,20/06/2018,Weather,,sunny,,,BW_Grün,
Grünbach,20/06/2018,time,,08:00,hh:mm,,BW_Grün,
Grünbach,20/06/2018,water temperature,,17.8,°C,,BW_Grün,
Grünbach,20/06/2018,air temperature,,19.5,°C,,BW_Grün,
Grünbach,20/06/2018,pH,,7.82,,,BW_Grün,
Grünbach,20/06/2018,conductivity,,311,uS/cm,,BW_Grün,
Grünbach,20/06/2018,Dissolved Oxygen,,93,%,,BW_Grün,
Grünbach,20/06/2018,Dissolved Oxygen,,8.89,mg/L,,BW_Grün,
Grünbach,20/06/2018,NO2,,0.001,mg/L,,BW_Grün,
Grünbach,20/06/2018,NO3,,1.8,mg/L,,BW_Grün,
Grünbach,20/06/2018,PO4,,0.6,mg/L,,BW_Grün,
Grünbach,20/06/2018,NH4,<,0.1,mg/L,,BW_Grün,
Grünbach,20/06/2018,Cl,,22,mg/L,,BW_Grün,
Grünbach,20/06/2018,SO4,<,20,mg/L,,BW_Grün,
Grünbach,20/06/2018,Cu,<,0.1,mg/L,,BW_Grün,
Grünbach,20/06/2018,Flow 1,,0.21,m/sec,,BW_Grün,
Grünbach,20/06/2018,Flow 2,,0.22,m/sec,,BW_Grün,
Grünbach,20/06/2018,Flow 3,,0.13,m/sec,,BW_Grün,
Grünbach,20/06/2018,Flow UFZ,,0.2,m/sec,,BW_Grün,
Russbach up,20/06/2018,Weather,,sunny,,,RP_Russ_R,
Russbach up,20/06/2018,time,,09:45,hh:mm,,RP_Russ_R,
Russbach up,20/06/2018,water temperature,,13.1,°C,,RP_Russ_R,
Russbach up,20/06/2018,air temperature,,18.6,°C,,RP_Russ_R,
Russbach up,20/06/2018,pH,,7.26,,,RP_Russ_R,
Russbach up,20/06/2018,conductivity,,122,uS/cm,,RP_Russ_R,
Russbach up,20/06/2018,Dissolved Oxygen,,10.24,%,,RP_Russ_R,
Russbach up,20/06/2018,Dissolved Oxygen,,10.72,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,NO2,,0.01,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,NO3,,2.3,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,PO4,,1.2,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,NH4,<,0.1,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,Cl,,5,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,SO4,<,20,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,Cu,<,0.1,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,Flow 1,,0.26,m/sec,,RP_Russ_R,
Russbach up,20/06/2018,Flow 2,,0.26,m/sec,,RP_Russ_R,
Russbach up,20/06/2018,Flow 3,,0.21,m/sec,,RP_Russ_R,
Russbach up,20/06/2018,Flow UFZ,,0.33,m/sec,,RP_Russ_R,
Russbach down,20/06/2018,Weather,,sunny ,,,RP_Russ,
Russbach down,20/06/2018,time,,10:30,hh:mm,,RP_Russ,
Russbach down,20/06/2018,water temperature,,18.9,°C,,RP_Russ,
Russbach down,20/06/2018,air temperature,,21.6,°C,,RP_Russ,
Russbach down,20/06/2018,pH,,8,,,RP_Russ,
Russbach down,20/06/2018,conductivity,,300,uS/cm,,RP_Russ,
Russbach down,20/06/2018,Dissolved Oxygen,,100.8,%,,RP_Russ,
Russbach down,20/06/2018,Dissolved Oxygen,,9.31,mg/L,,RP_Russ,
Russbach down,20/06/2018,NO2,,0.01,mg/L,,RP_Russ,
Russbach down,20/06/2018,NO3,,1.6,mg/L,,RP_Russ,
Russbach down,20/06/2018,PO4,,0.6,mg/L,,RP_Russ,
Russbach down,20/06/2018,NH4,<,0.1,mg/L,,RP_Russ,
Russbach down,20/06/2018,Cl,,12,mg/L,,RP_Russ,
Russbach down,20/06/2018,SO4,,21,mg/L,,RP_Russ,
Russbach down,20/06/2018,Cu,<,0.1,mg/L,,RP_Russ,
Russbach down,20/06/2018,Flow 1,,0.42,m/sec,,RP_Russ,
Russbach down,20/06/2018,Flow 2,,0.26,m/sec,,RP_Russ,
Russbach down,20/06/2018,Flow 3,,0.36,m/sec,,RP_Russ,
Russbach down,20/06/2018,Flow UFZ,,0.4,m/sec,,RP_Russ,
Otterbach down,20/06/2018,Weather,,sunny,,,RP_Otter,
Otterbach down,20/06/2018,time,,11:30,hh:mm,,RP_Otter,
Otterbach down,20/06/2018,water temperature,,17.2,°C,,RP_Otter,
Otterbach down,20/06/2018,air temperature,,19,°C,,RP_Otter,
Otterbach down,20/06/2018,pH,,7.76,,,RP_Otter,
Otterbach down,20/06/2018,conductivity,,314,uS/cm,,RP_Otter,
Otterbach down,20/06/2018,Dissolved Oxygen,,96.1,%,,RP_Otter,
Otterbach down,20/06/2018,Dissolved Oxygen,,9.17,mg/L,,RP_Otter,
Otterbach down,20/06/2018,NO2,,0.002,mg/L,,RP_Otter,
Otterbach down,20/06/2018,NO3,,1.3,mg/L,,RP_Otter,
Otterbach down,20/06/2018,PO4,,0.7,mg/L,,RP_Otter,
Otterbach down,20/06/2018,NH4,,0.1,mg/L,,RP_Otter,
Otterbach down,20/06/2018,Cl,,16,mg/L,,RP_Otter,
Otterbach down,20/06/2018,SO4,,23,mg/L,,RP_Otter,
Otterbach down,20/06/2018,Cu,<,0.1,mg/L,,RP_Otter,
Otterbach down,20/06/2018,Flow 1,,0.43,m/sec,,RP_Otter,
Otterbach down,20/06/2018,Flow 2,,0.4,m/sec,,RP_Otter,
Otterbach down,20/06/2018,Flow 3,,0.49,m/sec,,RP_Otter,
Otterbach down,20/06/2018,Flow UFZ,,0.4,m/sec,,RP_Otter,
Dierbach down,20/06/2018,Weather,,sunny,,,RP_Dier,
Dierbach down,20/06/2018,time,,12:10,hh:mm,,RP_Dier,
Dierbach down,20/06/2018,water temperature,,16.3,°C,,RP_Dier,
Dierbach down,20/06/2018,air temperature,,21.4,°C,,RP_Dier,
Dierbach down,20/06/2018,pH,,7.52,,,RP_Dier,
Dierbach down,20/06/2018,conductivity,,113,uS/cm,,RP_Dier,
Dierbach down,20/06/2018,Dissolved Oxygen,,330,%,,RP_Dier,
Dierbach down,20/06/2018,Dissolved Oxygen,,31.3,mg/L,,RP_Dier,
Dierbach down,20/06/2018,NO2,,0.01,mg/L,,RP_Dier,
Dierbach down,20/06/2018,NO3,,2.5,mg/L,,RP_Dier,
Dierbach down,20/06/2018,PO4,,0.5,mg/L,,RP_Dier,
Dierbach down,20/06/2018,NH4,<,0.1,mg/L,,RP_Dier,
Dierbach down,20/06/2018,Cl,,9,mg/L,,RP_Dier,
Dierbach down,20/06/2018,SO4,<,20,mg/L,,RP_Dier,
Dierbach down,20/06/2018,Cu,<,0.1,mg/L,,RP_Dier,
Dierbach down,20/06/2018,Flow 1,,0.23,m/sec,,RP_Dier,
Dierbach down,20/06/2018,Flow 2,,0.36,m/sec,,RP_Dier,
Dierbach down,20/06/2018,Flow 3,,0.13,m/sec,,RP_Dier,
Dierbach down,20/06/2018,Flow UFZ,,0.3,m/sec,,RP_Dier,
Otterbach up,20/06/2018,Weather,,sunny,,,RP_Otter_R,
Otterbach up,20/06/2018,time,,12:45,hh:mm,,RP_Otter_R,
Otterbach up,20/06/2018,water temperature,,14.3,°C,,RP_Otter_R,
Otterbach up,20/06/2018,air temperature,,20.1,°C,,RP_Otter_R,
Otterbach up,20/06/2018,pH,,7.52,,,RP_Otter_R,
Otterbach up,20/06/2018,conductivity,,168,uS/cm,,RP_Otter_R,
Otterbach up,20/06/2018,Dissolved Oxygen,,105.5,%,,RP_Otter_R,
Otterbach up,20/06/2018,Dissolved Oxygen,,10.67,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,NO2,,0.01,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,NO3,,1.9,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,PO4,,0.6,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,NH4,<,0.1,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,Cl,,6,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,SO4,<,20,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,Cu,<,0.1,mg/L,,RP_Otter_R,
Otterbach up,20/06/2018,Flow 1,,0.09,m/sec,,RP_Otter_R,
Otterbach up,20/06/2018,Flow 2,,0.09,m/sec,,RP_Otter_R,
Otterbach up,20/06/2018,Flow 3,,0.18,m/sec,,RP_Otter_R,
Otterbach up,20/06/2018,Flow UFZ,,0.09,m/sec,,RP_Otter_R,
Dierbach up,20/06/2018,Weather,,sunny,,,RP_Dier_R,
Dierbach up,20/06/2018,time,,13:30,hh:mm,,RP_Dier_R,
Dierbach up,20/06/2018,water temperature,,14.5,°C,,RP_Dier_R,
Dierbach up,20/06/2018,air temperature,,19.5,°C,,RP_Dier_R,
Dierbach up,20/06/2018,pH,,6.57,,,RP_Dier_R,
Dierbach up,20/06/2018,conductivity,,137,uS/cm,,RP_Dier_R,
Dierbach up,20/06/2018,Dissolved Oxygen,,100.4,%,,RP_Dier_R,
Dierbach up,20/06/2018,Dissolved Oxygen,,10.06,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,NO2,<,0.01,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,NO3,,4,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,PO4,,0.7,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,NH4,,0.7,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,Cl,,9,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,SO4,,24,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,Cu,<,0.1,mg/L,,RP_Dier_R,
Dierbach up,20/06/2018,Flow 1,,0.3,m/sec,,RP_Dier_R,
Dierbach up,20/06/2018,Flow 2,,0.46,m/sec,,RP_Dier_R,
Dierbach up,20/06/2018,Flow 3,,0.27,m/sec,,RP_Dier_R,
Dierbach up,20/06/2018,Flow UFZ,,0.28,m/sec,,RP_Dier_R,
Klingbach up,20/06/2018,Weather,,sunny,,,RP_Kling_R,
Klingbach up,20/06/2018,time,,14:50,hh:mm,,RP_Kling_R,
Klingbach up,20/06/2018,water temperature,,18.7,°C,,RP_Kling_R,
Klingbach up,20/06/2018,air temperature,,22.6,°C,,RP_Kling_R,
Klingbach up,20/06/2018,pH,,7.59,,,RP_Kling_R,
Klingbach up,20/06/2018,conductivity,,373,uS/cm,,RP_Kling_R,
Klingbach up,20/06/2018,Dissolved Oxygen,,96.8,%,,RP_Kling_R,
Klingbach up,20/06/2018,Dissolved Oxygen,,9.04,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,NO2,,0.01,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,NO3,,2.6,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,PO4,,0.5,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,NH4,<,0.1,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,Cl,,18,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,SO4,<,20,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,Cu,<,0.1,mg/L,,RP_Kling_R,
Klingbach up,20/06/2018,Flow 1,,0.14,m/sec,,RP_Kling_R,
Klingbach up,20/06/2018,Flow 2,,0.34,m/sec,,RP_Kling_R,
Klingbach up,20/06/2018,Flow 3,,0.29,m/sec,,RP_Kling_R,
Klingbach up,20/06/2018,Flow UFZ,,0.16,m/sec,,RP_Kling_R,
Klingbach down,20/06/2018,Weather,,sunny,,,RP_Kling,
Klingbach down,20/06/2018,time,,15:30,hh:mm,,RP_Kling,
Klingbach down,20/06/2018,water temperature,,18.9,°C,,RP_Kling,
Klingbach down,20/06/2018,air temperature,,22.5,°C,,RP_Kling,
Klingbach down,20/06/2018,pH,,7.6,,,RP_Kling,
Klingbach down,20/06/2018,conductivity,,411,uS/cm,,RP_Kling,
Klingbach down,20/06/2018,Dissolved Oxygen,,94.6,%,,RP_Kling,
Klingbach down,20/06/2018,Dissolved Oxygen,,8.68,mg/L,,RP_Kling,
Klingbach down,20/06/2018,NO2,,0.02,mg/L,,RP_Kling,
Klingbach down,20/06/2018,NO3,,1.6,mg/L,,RP_Kling,
Klingbach down,20/06/2018,PO4,,1.2,mg/L,,RP_Kling,
Klingbach down,20/06/2018,NH4,,0.1,mg/L,,RP_Kling,
Klingbach down,20/06/2018,Cl,,23,mg/L,,RP_Kling,
Klingbach down,20/06/2018,SO4,,23,mg/L,,RP_Kling,
Klingbach down,20/06/2018,Cu,<,0.1,mg/L,,RP_Kling,
Klingbach down,20/06/2018,Flow 1,,0.32,m/sec,,RP_Kling,
Klingbach down,20/06/2018,Flow 2,,0.22,m/sec,,RP_Kling,
Klingbach down,20/06/2018,Flow 3,,0.24,m/sec,,RP_Kling,
Klingbach down,20/06/2018,Flow UFZ,,0.29,m/sec,,RP_Kling,
Kaiserbach down,20/06/2018,Weather,,sunny,,,RP_Kaiser,
Kaiserbach down,20/06/2018,time,,1410,hh:mm,,RP_Kaiser,
Kaiserbach down,20/06/2018,water temperature,,19.1,°C,,RP_Kaiser,
Kaiserbach down,20/06/2018,air temperature,,23.1,°C,,RP_Kaiser,
Kaiserbach down,20/06/2018,pH,,7.72,,,RP_Kaiser,
Kaiserbach down,20/06/2018,conductivity,,938,uS/cm,,RP_Kaiser,
Kaiserbach down,20/06/2018,Dissolved Oxygen,,95.1,%,,RP_Kaiser,
Kaiserbach down,20/06/2018,Dissolved Oxygen,,8.86,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,NO2,,0.01,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,NO3,,1.8,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,PO4,,1.8,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,NH4,,0.1,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,Cl,>,50,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,SO4,,44,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,Cu,<,0.1,mg/L,,RP_Kaiser,
Kaiserbach down,20/06/2018,Flow 1,,0.11,m/sec,,RP_Kaiser,
Kaiserbach down,20/06/2018,Flow 2,,0.42,m/sec,,RP_Kaiser,
Kaiserbach down,20/06/2018,Flow 3,,0.17,m/sec,,RP_Kaiser,
Kaiserbach down,20/06/2018,Flow UFZ,,0.38,m/sec,,RP_Kaiser,
Kaiserbach up ,20/06/2018,Weather,,sunny,,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,time,,1650,hh:mm,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,water temperature,,15.1,°C,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,air temperature,,20.7,°C,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,pH,,7.23,,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,conductivity,,206,uS/cm,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Dissolved Oxygen,,204.4,%,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Dissolved Oxygen,,10.26,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,NO2,,0.01,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,NO3,,5.5,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,PO4,,0.5,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,NH4,,0.2,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Cl,,26,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,SO4,,25,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Cu,<,0.1,mg/L,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Flow 1,,0.03,m/sec,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Flow 2,,0.02,m/sec,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Flow 3,,0.11,m/sec,,RP_Kaiser_R,
Kaiserbach up ,20/06/2018,Flow UFZ,,0.1,m/sec,,RP_Kaiser_R,
Hainbach up,21/06/2018,Weather,,sunny,,,RP_Hain_R,
Hainbach up,21/06/2018,time,,07:20,hh:mm,,RP_Hain_R,
Hainbach up,21/06/2018,water temperature,,14.9,°C,,RP_Hain_R,
Hainbach up,21/06/2018,air temperature,,17,°C,,RP_Hain_R,
Hainbach up,21/06/2018,pH,,7.11,,,RP_Hain_R,
Hainbach up,21/06/2018,conductivity,,125,uS/cm,,RP_Hain_R,
Hainbach up,21/06/2018,Dissolved Oxygen,,306,%,,RP_Hain_R,
Hainbach up,21/06/2018,Dissolved Oxygen,,30.1,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,NO2,<,0.01,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,NO3,,1.4,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,PO4,,0.3,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,NH4,<,0.1,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,Cl,,6,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,SO4,,21,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,Cu,<,0.1,mg/L,,RP_Hain_R,
Hainbach up,21/06/2018,Flow 1,,0.18,m/sec,,RP_Hain_R,
Hainbach up,21/06/2018,Flow 2,,0.15,m/sec,,RP_Hain_R,
Hainbach up,21/06/2018,Flow 3,,0.16,m/sec,,RP_Hain_R,
Hainbach up,21/06/2018,Flow UFZ,,0.14,m/sec,,RP_Hain_R,
Hainbach down,21/06/2018,Weather,,sunny,,,RP_Hain,
Hainbach down,21/06/2018,time,,08:00,hh:mm,,RP_Hain,
Hainbach down,21/06/2018,water temperature,,17.3,°C,,RP_Hain,
Hainbach down,21/06/2018,air temperature,,18.2,°C,,RP_Hain,
Hainbach down,21/06/2018,pH,,7.35,,,RP_Hain,
Hainbach down,21/06/2018,conductivity,,180,uS/cm,,RP_Hain,
Hainbach down,21/06/2018,Dissolved Oxygen,,94.4,%,,RP_Hain,
Hainbach down,21/06/2018,Dissolved Oxygen,,8.95,mg/L,,RP_Hain,
Hainbach down,21/06/2018,NO2,,0.02,mg/L,,RP_Hain,
Hainbach down,21/06/2018,NO3,,1.7,mg/L,,RP_Hain,
Hainbach down,21/06/2018,PO4,,0.8,mg/L,,RP_Hain,
Hainbach down,21/06/2018,NH4,<,0.1,mg/L,,RP_Hain,
Hainbach down,21/06/2018,Cl,,8,mg/L,,RP_Hain,
Hainbach down,21/06/2018,SO4,,24,mg/L,,RP_Hain,
Hainbach down,21/06/2018,Cu,<,0.1,mg/L,,RP_Hain,
Hainbach down,21/06/2018,Flow 1,,0.14,m/sec,,RP_Hain,
Hainbach down,21/06/2018,Flow 2,,0.24,m/sec,,RP_Hain,
Hainbach down,21/06/2018,Flow 3,,0.22,m/sec,,RP_Hain,
Hainbach down,21/06/2018,Flow UFZ,,0.2,m/sec,,RP_Hain,
Triefenbach down,21/06/2018,Weather,,sunny ,,,RP_Triefen,
Triefenbach down,21/06/2018,time,,09:15,hh:mm,,RP_Triefen,
Triefenbach down,21/06/2018,water temperature,,15.7,°C,,RP_Triefen,
Triefenbach down,21/06/2018,air temperature,,18.9,°C,,RP_Triefen,
Triefenbach down,21/06/2018,pH,,7.45,,,RP_Triefen,
Triefenbach down,21/06/2018,conductivity,,215,uS/cm,,RP_Triefen,
Triefenbach down,21/06/2018,Dissolved Oxygen,,103.3,%,,RP_Triefen,
Triefenbach down,21/06/2018,Dissolved Oxygen,,10.11,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,NO2,,0.01,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,NO3,,1.5,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,PO4,,0.6,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,NH4,<,0.1,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,Cl,,13,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,SO4,,29,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,Cu,<,0.1,mg/L,,RP_Triefen,
Triefenbach down,21/06/2018,Flow 1,,0.12,m/sec,,RP_Triefen,
Triefenbach down,21/06/2018,Flow 2,,0.2,m/sec,,RP_Triefen,
Triefenbach down,21/06/2018,Flow 3,,0.11,m/sec,,RP_Triefen,
Triefenbach down,21/06/2018,Flow UFZ,,0.1,m/sec,,RP_Triefen,
Triefenbach up,21/06/2018,Weather,,sunny,,,RP_Triefen_R,
Triefenbach up,21/06/2018,time,,10:45,hh:mm,,RP_Triefen_R,
Triefenbach up,21/06/2018,water temperature,,15.1,°C,,RP_Triefen_R,
Triefenbach up,21/06/2018,air temperature,,19.7,°C,,RP_Triefen_R,
Triefenbach up,21/06/2018,pH,,7.41,,,RP_Triefen_R,
Triefenbach up,21/06/2018,conductivity,,156,uS/cm,,RP_Triefen_R,
Triefenbach up,21/06/2018,Dissolved Oxygen,,106.5,%,,RP_Triefen_R,
Triefenbach up,21/06/2018,Dissolved Oxygen,,10.49,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,NO2,,0.01,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,NO3,,1.9,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,PO4,,0.6,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,NH4,<,0.1,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,Cl,,11,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,SO4,,23,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,Cu,<,0.1,mg/L,,RP_Triefen_R,
Triefenbach up,21/06/2018,Flow 1,,0.23,m/sec,,RP_Triefen_R,
Triefenbach up,21/06/2018,Flow 2,,0.36,m/sec,,RP_Triefen_R,
Triefenbach up,21/06/2018,Flow 3,,0.09,m/sec,,RP_Triefen_R,
Triefenbach up,21/06/2018,Flow UFZ,,0.4,m/sec,,RP_Triefen_R,
Modenbach up,21/06/2018,Weather,,sunny,,,RP_Moden_R,
Modenbach up,21/06/2018,time,,10:00,hh:mm,,RP_Moden_R,
Modenbach up,21/06/2018,water temperature,,14.2,°C,,RP_Moden_R,
Modenbach up,21/06/2018,air temperature,,18.9,°C,,RP_Moden_R,
Modenbach up,21/06/2018,pH,,7.29,,,RP_Moden_R,
Modenbach up,21/06/2018,conductivity,,216,uS/cm,,RP_Moden_R,
Modenbach up,21/06/2018,Dissolved Oxygen,,103.5,%,,RP_Moden_R,
Modenbach up,21/06/2018,Dissolved Oxygen,,10.34,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,NO2,,0.01,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,NO3,,1.6,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,PO4,,0.5,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,NH4,<,0.1,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,Cl,,12,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,SO4,,27,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,Cu,<,0.1,mg/L,,RP_Moden_R,
Modenbach up,21/06/2018,Flow 1,,0.24,m/sec,,RP_Moden_R,
Modenbach up,21/06/2018,Flow 2,,0.26,m/sec,,RP_Moden_R,
Modenbach up,21/06/2018,Flow 3,,0.64,m/sec,,RP_Moden_R,
Modenbach up,21/06/2018,Flow UFZ,,0.21,m/sec,,RP_Moden_R,
Modenbach down,21/06/2018,Weather,,sunny,,,RP_Moden,
Modenbach down,21/06/2018,time,,08:30,hh:mm,,RP_Moden,
Modenbach down,21/06/2018,water temperature,,16.8,°C,,RP_Moden,
Modenbach down,21/06/2018,air temperature,,19.3,°C,,RP_Moden,
Modenbach down,21/06/2018,pH,,7.71,,,RP_Moden,
Modenbach down,21/06/2018,conductivity,,363,uS/cm,,RP_Moden,
Modenbach down,21/06/2018,Dissolved Oxygen,,97.32,%,,RP_Moden,
Modenbach down,21/06/2018,Dissolved Oxygen,,9.35,mg/L,,RP_Moden,
Modenbach down,21/06/2018,NO2,,0.02,mg/L,,RP_Moden,
Modenbach down,21/06/2018,NO3,,3.8,mg/L,,RP_Moden,
Modenbach down,21/06/2018,PO4,,0.5,mg/L,,RP_Moden,
Modenbach down,21/06/2018,NH4,<,0.1,mg/L,,RP_Moden,
Modenbach down,21/06/2018,Cl,,21,mg/L,,RP_Moden,
Modenbach down,21/06/2018,SO4,,31,mg/L,,RP_Moden,
Modenbach down,21/06/2018,Cu,<,0.1,mg/L,,RP_Moden,
Modenbach down,21/06/2018,Flow 1,,0.71,m/sec,,RP_Moden,
Modenbach down,21/06/2018,Flow 2,,0.21,m/sec,,RP_Moden,
Modenbach down,21/06/2018,Flow 3,,0.05,m/sec,,RP_Moden,
Modenbach down,21/06/2018,Flow UFZ,,0.25,m/sec,,RP_Moden,
Kropsbach up,21/06/2018,Weather,,sunny,,,RP_Krops_R,
Kropsbach up,21/06/2018,time,,11:45,hh:mm,,RP_Krops_R,
Kropsbach up,21/06/2018,water temperature,,16.9,°C,,RP_Krops_R,
Kropsbach up,21/06/2018,air temperature,,19.3,°C,,RP_Krops_R,
Kropsbach up,21/06/2018,pH,,7.3,,,RP_Krops_R,
Kropsbach up,21/06/2018,conductivity,,117,uS/cm,,RP_Krops_R,
Kropsbach up,21/06/2018,Dissolved Oxygen,,103.5,%,,RP_Krops_R,
Kropsbach up,21/06/2018,Dissolved Oxygen,,9.76,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,NO2,,0.01,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,NO3,,1.7,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,PO4,,0.5,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,NH4,<,0.1,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,Cl,,21,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,SO4,,28,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,Cu,<,0.1,mg/L,,RP_Krops_R,
Kropsbach up,21/06/2018,Flow 1,,0.13,m/sec,,RP_Krops_R,
Kropsbach up,21/06/2018,Flow 2,,0.21,m/sec,,RP_Krops_R,
Kropsbach up,21/06/2018,Flow 3,,0.21,m/sec,,RP_Krops_R,
Kropsbach up,21/06/2018,Flow UFZ,,0.4,m/sec,,RP_Krops_R,
Kropsbach down,21/06/2018,Weather,,sunny,,,RP_Krops,
Kropsbach down,21/06/2018,time,,11:55,hh:mm,,RP_Krops,
Kropsbach down,21/06/2018,water temperature,,22,°C,,RP_Krops,
Kropsbach down,21/06/2018,air temperature,,24.2,°C,,RP_Krops,
Kropsbach down,21/06/2018,pH,,8.85,,,RP_Krops,
Kropsbach down,21/06/2018,conductivity,,362,uS/cm,,RP_Krops,
Kropsbach down,21/06/2018,Dissolved Oxygen,,124.5,%,,RP_Krops,
Kropsbach down,21/06/2018,Dissolved Oxygen,,10.81,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,NO2,,0.01,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,NO3,,1.4,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,PO4,,0.5,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,NH4,<,0.1,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,Cl,,18,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,SO4,,47,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,Cu,<,0.1,mg/L,,RP_Krops,
Kropsbach down,21/06/2018,Flow 1,,0.27,m/sec,,RP_Krops,
Kropsbach down,21/06/2018,Flow 2,,0.12,m/sec,,RP_Krops,
